Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock
24-02-2009,7.025626079,7.157356233,6.63043478,6.652389526,5260,0,0,20MICRONS.NS
25-02-2009,6.98171589,7.113446884,6.630434914,6.959761143,6340,0,0,20MICRONS.NS
26-02-2009,7.245177058,7.72818903,7.047580985,7.267131805,34764,0,0,20MICRONS.NS
27-02-2009,7.420817448,7.420817448,6.828030493,7.091491222,5940,0,0,20MICRONS.NS
02-03-2009,7.245177001,8.167290605,6.67434479,7.025626183,88872,0,0,20MICRONS.NS
03-03-2009,7.837964442,7.837964442,6.80607542,6.828030586,10200,0,0,20MICRONS.NS
04-03-2009,6.893895528,6.981715771,6.608479635,6.718255043,31000,0,0,20MICRONS.NS
05-03-2009,7.003671298,7.003671298,6.410884316,6.608479977,85466,0,0,20MICRONS.NS
06-03-2009,6.586524043,6.937805409,6.476748642,6.52065897,12836,0,0,20MICRONS.NS
09-03-2009,6.366973725,6.630434874,6.323063394,6.38892889,7954,0,0,20MICRONS.NS
12-03-2009,6.301108326,6.542613878,6.301108326,6.3669734,10694,0,0,20MICRONS.NS
13-03-2009,6.301108326,6.718254775,6.301108326,6.3669734,10710,0,0,20MICRONS.NS
16-03-2009,6.169377126,6.762163993,6.169377126,6.586523533,127000,0,0,20MICRONS.NS
17-03-2009,6.257197986,6.762164673,6.257197986,6.498703957,85626,0,0,20MICRONS.NS
18-03-2009,6.410883523,6.915850195,6.410883523,6.849985123,16000,0,0,20MICRONS.NS
19-03-2009,6.80607546,7.003671116,6.542614307,6.564569473,8200,0,0,20MICRONS.NS
20-03-2009,6.213287311,6.696299226,6.213287311,6.674344063,8600,0,0,20MICRONS.NS
23-03-2009,6.806075132,6.937805702,6.454793751,6.740210056,71582,0,0,20MICRONS.NS
24-03-2009,6.849985595,6.981715749,6.586524449,6.652389526,10816,0,0,20MICRONS.NS
25-03-2009,6.652389718,6.98171595,6.454794063,6.564569473,22000,0,0,20MICRONS.NS
26-03-2009,6.586524639,6.69630005,6.476749228,6.564569473,16106,0,0,20MICRONS.NS
27-03-2009,6.432838314,6.630434371,6.432838314,6.52065897,28614,0,0,20MICRONS.NS
30-03-2009,6.169377126,6.630433857,6.169377126,6.586523533,7200,0,0,20MICRONS.NS
31-03-2009,6.410884168,6.784120314,5.927872192,6.63043499,39774,0,0,20MICRONS.NS
01-04-2009,6.3889288,6.762164934,6.3889288,6.652389526,8080,0,0,20MICRONS.NS
02-04-2009,6.476749154,7.157356357,6.476749154,6.893895626,24116,0,0,20MICRONS.NS
06-04-2009,7.20126667,7.223222254,6.806075364,7.025626183,17372,0,0,20MICRONS.NS
08-04-2009,6.608479146,7.179311308,6.608479146,7.113446236,19800,0,0,20MICRONS.NS
09-04-2009,7.376907384,7.684278874,7.135401812,7.508638382,49102,0,0,20MICRONS.NS
13-04-2009,7.464726563,8.430750335,7.289086105,8.233154297,74050,0,0,20MICRONS.NS
15-04-2009,7.311042985,8.386842463,7.311042985,8.035560608,58478,0,0,20MICRONS.NS
16-04-2009,8.738122423,8.738122423,7.596457998,7.728188992,38592,0,0,20MICRONS.NS
17-04-2009,7.728189382,8.233156123,7.267132136,7.552548885,35550,0,0,20MICRONS.NS
20-04-2009,8.013603931,8.013603931,7.46472695,7.662322998,26752,0,0,20MICRONS.NS
21-04-2009,7.464728618,9.199180603,7.311042862,9.199180603,280400,0,0,20MICRONS.NS
22-04-2009,9.638280997,10.93363029,9.616325413,10.12129211,648410,0,0,20MICRONS.NS
23-04-2009,10.20911146,10.20911146,9.111357542,9.265043259,121414,0,0,20MICRONS.NS
24-04-2009,9.462639551,10.09933723,9.023537932,9.638280869,106984,0,0,20MICRONS.NS
27-04-2009,9.660235474,10.31888789,8.386840965,9.528505325,70878,0,0,20MICRONS.NS
28-04-2009,9.923696741,11.43859682,9.813921337,11.04340553,700720,0,0,20MICRONS.NS
29-04-2009,11.30686599,11.46055172,10.16520169,10.36279774,390844,0,0,20MICRONS.NS
30-04-2009,10.36279774,10.36279774,10.36279774,10.36279774,0,0,0,20MICRONS.NS
04-05-2009,10.53843939,10.53843939,9.791966266,9.945652008,103000,0,0,20MICRONS.NS
05-05-2009,10.5164844,10.5164844,9.682190632,9.857831955,58732,0,0,20MICRONS.NS
06-05-2009,9.660235104,10.3188875,9.221133509,9.704145432,64218,0,0,20MICRONS.NS
07-05-2009,9.704145132,9.989560993,9.440684016,9.748055458,56142,0,0,20MICRONS.NS
08-05-2009,9.111358879,9.923697067,8.782032654,9.594370842,38704,0,0,20MICRONS.NS
11-05-2009,9.396773606,9.594369651,8.782031564,8.979627609,72706,0,0,20MICRONS.NS
12-05-2009,8.825943383,9.440685529,8.123380572,9.155269623,49698,0,0,20MICRONS.NS
13-05-2009,9.221134435,9.440685255,8.913762952,8.935718536,32228,0,0,20MICRONS.NS
14-05-2009,8.672256407,8.913761947,8.540526265,8.803986549,22836,0,0,20MICRONS.NS
15-05-2009,8.738122634,9.023538538,8.672257555,8.782032967,27342,0,0,20MICRONS.NS
18-05-2009,8.782032967,8.782032967,8.782032967,8.782032967,0,0,0,20MICRONS.NS
19-05-2009,9.111358572,9.660235594,9.001583167,9.243088722,65182,0,0,20MICRONS.NS
20-05-2009,10.09933806,10.09933806,8.803987844,9.901741982,62000,0,0,20MICRONS.NS
21-05-2009,10.34084216,10.60430329,9.77001043,10.09933662,123198,0,0,20MICRONS.NS
22-05-2009,10.53843859,10.75798939,10.09933698,10.56039333,77400,0,0,20MICRONS.NS
25-05-2009,10.95558582,11.50446285,10.56039369,11.41664219,168614,0,0,20MICRONS.NS
26-05-2009,11.85574453,11.98747469,10.99949598,11.19709206,143600,0,0,20MICRONS.NS
27-05-2009,11.30686678,11.70205808,11.28491204,11.41664219,60350,0,0,20MICRONS.NS
28-05-2009,11.9435637,11.9435637,11.02145019,11.13122559,39944,0,0,20MICRONS.NS
29-05-2009,11.3727316,11.63619274,10.64821411,10.93362999,58026,0,0,20MICRONS.NS
01-06-2009,11.3727323,11.48250771,11.02145132,11.48250771,71800,0,0,20MICRONS.NS
02-06-2009,11.83379038,12.07529597,11.28491329,12.00943089,178074,0,0,20MICRONS.NS
03-06-2009,12.60221746,12.62417221,12.33875631,12.62417221,185200,0,0,20MICRONS.NS
04-06-2009,13.08522865,13.26086998,12.51439685,13.26086998,179400,0,0,20MICRONS.NS
05-06-2009,13.94147544,13.94147544,13.06327226,13.34868813,135800,0,0,20MICRONS.NS
08-06-2009,13.34869021,13.34869021,12.69003773,12.69003773,35000,0,0,20MICRONS.NS
09-06-2009,12.0752947,12.0752947,12.05333996,12.05333996,19400,0,0,20MICRONS.NS
10-06-2009,12.55830695,12.55830695,11.46055286,11.5044632,51692,0,0,20MICRONS.NS
11-06-2009,11.63619389,11.85574472,10.93363107,11.54837322,29556,0,0,20MICRONS.NS
12-06-2009,11.98747249,12.03138281,10.99949396,11.08731461,38432,0,0,20MICRONS.NS
15-06-2009,11.19709037,11.19709037,10.53843799,10.64821339,38874,0,0,20MICRONS.NS
16-06-2009,10.53843904,11.19709148,10.14324774,11.021451,26000,0,0,20MICRONS.NS
17-06-2009,10.97754122,11.52641829,10.56039432,10.69212532,24348,0,0,20MICRONS.NS
18-06-2009,10.31888681,10.69212331,10.1652011,10.18715668,28654,0,0,20MICRONS.NS
19-06-2009,10.31888741,10.67016835,9.879785818,10.36279774,15262,0,0,20MICRONS.NS
22-06-2009,10.42866281,10.80189933,10.09933661,10.36279774,15720,0,0,20MICRONS.NS
23-06-2009,9.901742141,10.38475414,9.857832645,10.14324856,27450,0,0,20MICRONS.NS
24-06-2009,9.967608061,10.40670972,9.923697727,10.14324856,20020,0,0,20MICRONS.NS
25-06-2009,10.23106821,10.62626037,9.879787221,10.29693413,20716,0,0,20MICRONS.NS
26-06-2009,10.36279886,10.45061869,10.09933771,10.20911312,24834,0,0,20MICRONS.NS
29-06-2009,10.36279804,10.51648377,10.14324724,10.31888771,21120,0,0,20MICRONS.NS
30-06-2009,10.31888884,10.49452933,10.01151735,10.16520309,21384,0,0,20MICRONS.NS
01-07-2009,10.47257233,10.69212311,10.1652009,10.47257233,14616,0,0,20MICRONS.NS
02-07-2009,10.82385535,10.82385535,10.18715847,10.58234978,12514,0,0,20MICRONS.NS
03-07-2009,10.3188872,10.88971892,10.16520148,10.64821339,16382,0,0,20MICRONS.NS
06-07-2009,10.47257293,11.19709037,10.27497688,10.38475227,42342,0,0,20MICRONS.NS
07-07-2009,10.53843851,10.88971946,9.879786106,10.31888771,21000,0,0,20MICRONS.NS
08-07-2009,10.29693231,10.38475213,9.396773577,10.01151562,35146,0,0,20MICRONS.NS
09-07-2009,10.18715818,10.53843915,9.265044585,9.857831955,40570,0,0,20MICRONS.NS
10-07-2009,9.857830735,10.42866245,9.72609976,10.01151562,22268,0,0,20MICRONS.NS
13-07-2009,10.09933853,10.09933853,9.308955846,9.462640762,12386,0,0,20MICRONS.NS
14-07-2009,9.594370447,10.31888794,9.594370447,10.03347206,19128,0,0,20MICRONS.NS
15-07-2009,10.2969332,10.31888794,9.770010925,10.03347206,19386,0,0,20MICRONS.NS
16-07-2009,10.27497814,10.51648454,9.879786836,9.967607498,12784,0,0,20MICRONS.NS
17-07-2009,10.12129254,10.23106795,9.945652046,10.07738304,17750,0,0,20MICRONS.NS
20-07-2009,9.901742141,10.45061922,9.901742141,10.14324856,18584,0,0,20MICRONS.NS
21-07-2009,10.16520258,10.27497799,9.967607349,10.23106766,9858,0,0,20MICRONS.NS
22-07-2009,10.09933603,10.47257253,10.0554257,10.18715668,5002,0,0,20MICRONS.NS
23-07-2009,10.47257379,10.97754049,10.12129199,10.40670872,38666,0,0,20MICRONS.NS
24-07-2009,10.91167472,10.91167472,10.12129135,10.62625885,19428,0,0,20MICRONS.NS
27-07-2009,10.7579902,11.68010382,10.69212513,11.61423874,53416,0,0,20MICRONS.NS
28-07-2009,11.92160805,12.69003584,11.04340487,11.26295567,39758,0,0,20MICRONS.NS
29-07-2009,11.26295528,11.52641639,10.75798863,11.06536007,34070,0,0,20MICRONS.NS
30-07-2009,11.10927113,11.17513704,10.7799449,10.97754097,40750,0,0,20MICRONS.NS
31-07-2009,11.74596758,12.07529378,11.02145013,11.26295567,79028,0,0,20MICRONS.NS
03-08-2009,11.7459693,11.7459693,11.41664306,11.54837322,66174,0,0,20MICRONS.NS
04-08-2009,11.72401497,12.20702614,11.41664346,12.00943089,157400,0,0,20MICRONS.NS
05-08-2009,12.51439723,13.10718464,12.11920591,12.18507099,156260,0,0,20MICRONS.NS
06-08-2009,12.11920502,12.60221698,11.41664225,11.65814781,58630,0,0,20MICRONS.NS
07-08-2009,11.6361924,11.78987813,11.13122573,11.24100113,31574,0,0,20MICRONS.NS
10-08-2009,11.19709144,11.61423831,10.77994456,10.88971996,23046,0,0,20MICRONS.NS
11-08-2009,11.35077768,11.81183407,10.56039422,11.59228325,53828,0,0,20MICRONS.NS
12-08-2009,11.41664276,11.65814833,10.97754111,11.59228325,33600,0,0,20MICRONS.NS
13-08-2009,11.70205866,11.8557444,11.46055309,11.59228325,27398,0,0,20MICRONS.NS
14-08-2009,11.85574297,11.85574297,11.41664138,11.52641678,19976,0,0,20MICRONS.NS
17-08-2009,11.4166424,11.76792337,11.26295666,11.39468765,31310,0,0,20MICRONS.NS
18-08-2009,11.21904697,12.42657652,11.21904697,11.94356537,66798,0,0,20MICRONS.NS
19-08-2009,11.85574375,12.71199225,11.85574375,12.31680012,131108,0,0,20MICRONS.NS
20-08-2009,12.82176758,12.86567707,11.98747384,12.07529449,53814,0,0,20MICRONS.NS
21-08-2009,12.82176813,13.28282452,12.07529501,13.28282452,386986,0,0,20MICRONS.NS
24-08-2009,13.91952173,14.62208365,13.43650978,13.85365582,376726,0,0,20MICRONS.NS
25-08-2009,13.52432895,14.20493609,13.3925988,14.07320595,212676,0,0,20MICRONS.NS
26-08-2009,14.07320663,14.42448759,13.61215026,13.85365582,201858,0,0,20MICRONS.NS
27-08-2009,13.85365582,14.20493678,13.61215026,13.85365582,144126,0,0,20MICRONS.NS
